suffix,era,n,hw_rank,lanes,maxspeed,sidewalk_pct,intx_density,way_length_m
Alley,1920s-40s,1642,1.0,2.0,15.0,0.0060901339829476245,24.712713783390612,129.17557295990582
Alley,postwar boom,179,1.0,2.0,15.0,0.0,19.036312066422283,147.5170209195593
Alley,1965-1979,277,1.0,2.0,25.0,0.010830324909747292,20.308063063953554,141.48837786221785
Alley,1980-1999,256,1.0,2.0,25.0,0.0078125,22.84160091132211,118.43595970886118
Alley,2000+,301,1.0,2.0,15.0,0.019933554817275746,25.020962308175907,123.00548758415783
Avenue,1920s-40s,29420,2.0,2.0,25.0,0.08422841604350782,22.503415356752196,187.44962305297753
Avenue,postwar boom,13087,2.0,2.0,25.0,0.05983036601207305,16.485906966954026,235.26747969801107
Avenue,1965-1979,11560,2.0,3.0,30.0,0.057352941176470586,16.822645090343414,212.52491279974078
Avenue,1980-1999,6930,2.0,2.0,35.0,0.06724386724386724,17.659883928865153,186.8831030399481
Avenue,2000+,4528,2.0,2.0,25.0,0.10424028268551237,22.540965229550675,159.60758732069485
Boulevard,1920s-40s,2428,3.0,3.0,35.0,0.07825370675453047,28.16243030986432,118.80750722925237
Boulevard,postwar boom,1905,2.0,3.0,35.0,0.06089238845144357,21.624617968913938,182.42173634972502
Boulevard,1965-1979,2661,2.0,2.0,35.0,0.048478015783540024,25.64328325859737,133.83432567599763
Boulevard,1980-1999,3085,2.0,2.0,25.0,0.07844408427876823,25.95081550118038,113.45595806828484
Boulevard,2000+,3167,2.0,2.0,25.0,0.08967477107672876,26.54913751614743,108.59276928449137
Circle,1920s-40s,800,2.0,2.0,25.0,0.01375,19.6825909905646,124.35642686880303
Circle,postwar boom,1044,2.0,2.0,25.0,0.02586206896551724,17.245189520796036,139.44179538752616
Circle,1965-1979,2750,2.0,2.0,25.0,0.031636363636363636,16.026829689098307,127.3993299551391
Circle,1980-1999,2882,2.0,2.0,25.0,0.023941707147814018,16.313174604590756,136.06119188656436
Circle,2000+,1968,2.0,2.0,25.0,0.034552845528455285,16.21938982080647,152.45369321219624
Court,1920s-40s,3236,2.0,2.0,25.0,0.01668726823238566,21.38032670137668,97.53053954227454
Court,postwar boom,2934,2.0,2.0,25.0,0.04396728016359918,16.33529585021589,102.1215843154499
Court,1965-1979,9607,2.0,2.0,25.0,0.06765899864682003,15.377320334369452,100.51479388681568
Court,1980-1999,11471,2.0,2.0,25.0,0.10809868363699765,15.56308423039784,103.29994290954178
Court,2000+,7813,2.0,2.0,25.0,0.05606041213362345,14.81131876523982,107.44998957785202
Drive,1920s-40s,9933,2.0,2.0,25.0,0.024061210107721737,15.842356887153484,193.5880792713593
Drive,postwar boom,13379,2.0,2.0,25.0,0.03759623290230959,12.860133828632696,268.84965993753116
Drive,1965-1979,29106,2.0,2.0,25.0,0.03848003848003848,12.025383587072715,268.62721301201157
Drive,1980-1999,26909,2.0,2.0,25.0,0.06629752127540972,13.467220582405016,240.60732633985683
Drive,2000+,18946,2.0,2.0,25.0,0.07832787923572258,14.829389611881478,222.66698254418168
Highway,1920s-40s,814,5.0,2.0,55.0,0.0171990171990172,17.357592754043118,177.03286563584152
Highway,postwar boom,664,5.0,4.0,40.0,0.010542168674698794,38.96380248932893,70.1308487167257
Highway,1965-1979,1233,5.0,3.0,50.0,0.025952960259529603,26.34859335557464,103.77918453620298
Highway,1980-1999,1363,6.0,2.0,55.0,0.013206162876008804,14.526595869330238,191.94077189392613
Highway,2000+,776,6.0,2.0,55.0,0.027061855670103094,18.083879588672104,139.6594108641072
Lane,1920s-40s,5808,2.0,2.0,25.0,0.005165289256198347,14.056261252146165,179.1185175328562
Lane,postwar boom,5050,2.0,2.0,25.0,0.020396039603960397,13.811761493455736,195.7748681819537
Lane,1965-1979,13553,2.0,2.0,25.0,0.018224747288423226,11.749089650270344,212.01979124698477
Lane,1980-1999,16067,2.0,2.0,25.0,0.02526918528661231,10.985225718232327,219.40858046551443
Lane,2000+,9802,2.0,2.0,25.0,0.036115078555396855,11.93645152667356,214.7601948979699
Parkway,1920s-40s,1027,4.0,3.0,35.0,0.07887049659201557,32.617535810568974,89.23325176102348
Parkway,postwar boom,585,3.0,2.0,35.0,0.018803418803418803,19.246066142374,196.7595085403276
Parkway,1965-1979,1117,4.0,2.0,45.0,0.03312444046553268,18.1112413825624,196.49029796278066
Parkway,1980-1999,1471,4.0,2.0,35.0,0.03195105370496261,21.54445505075605,141.41421425933942
Parkway,2000+,953,3.0,2.0,35.0,0.03252885624344176,19.310542048096803,180.09398624412043
Path,1920s-40s,303,1.0,3.0,25.0,0.0,33.74882588216818,92.78742566006959
Path,postwar boom,177,2.0,2.0,25.0,0.0,19.934219599145948,137.17012049385374
Path,1965-1979,249,2.0,2.0,25.0,0.0,21.32116275453868,150.57191639925884
Path,1980-1999,335,2.0,2.0,25.0,0.0029850746268656717,17.260426269580783,153.83589758751995
Path,2000+,204,2.0,2.0,25.0,0.00980392156862745,15.920095839415481,188.4443532693229
Pike,1920s-40s,755,4.0,2.0,45.0,0.031788079470198675,19.29197309377841,168.80188564094033
Pike,postwar boom,433,5.0,3.0,35.0,0.10854503464203233,40.800946330358855,68.94568250802199
Pike,1965-1979,928,4.0,3.0,35.0,0.052801724137931036,31.269937730251648,80.1700042387482
Pike,1980-1999,1489,4.0,3.0,45.0,0.028206850235057087,25.721949578985768,97.62405291626634
Pike,2000+,731,4.0,3.0,45.0,0.027359781121751026,23.797589445004558,111.69308634053831
Place,1920s-40s,2345,2.0,2.0,25.0,0.04477611940298507,23.900211044649183,116.2919100650872
