year,beta_neighbor
1945,0.6287640128641551
1946,0.6450127115101224
1947,0.6607763606419966
1948,0.6760549602597774
1949,0.690848510363465
1950,0.7051570109530592
1951,0.71898046202856
1952,0.7323188635899676
1953,0.745172215637282
1954,0.7575405181705029
1955,0.7694237711896306
1956,0.780821974694665
1957,0.7917351286856061
1958,0.8021632331624537
1959,0.8121062881252082
1960,0.8215642935738695
1961,0.8305372495084372
1962,0.8390251559289118
1963,0.8470280128352932
1964,0.8545458202275811
1965,0.8615785781057756
1966,0.868126286469877
1967,0.8741889453198851
1968,0.8797665546557997
1969,0.8848591144776211
1970,0.8894666247853493
1971,0.893589085578984
1972,0.8972264968585255
1973,0.9003788586239738
1974,0.9030461708753286
1975,0.9052284336125902
1976,0.9069256468357585
1977,0.9081378105448334
1978,0.9088649247398151
1979,0.9091069894207034
1980,0.9088640045874985
1981,0.9081359702402002
1982,0.9069228863788087
1983,0.9052247530033238
1984,0.9030415701137456
1985,0.9003733377100742
1986,0.8972200557923093
1987,0.8935817243604514
1988,0.8894583434144999
1989,0.8848499129544553
1990,0.8797564329803172
1991,0.8741779034920859
1992,0.8681143244897613
1993,0.8615656959733434
1994,0.8545320179428322
1995,0.8470132903982277
1996,0.8390095133395298
1997,0.8305206867667387
1998,0.8215468106798542
1999,0.8120878850788764
2000,0.8021439099638055
2001,0.7917148853346412
2002,0.7808008111913833
2003,0.7694016875340325
2004,0.7575175143625882
2005,0.7451482916770505
2006,0.7322940194774197
2007,0.7189546977636956
2008,0.7051303265358779
2009,0.6908209057939672
2010,0.6760264355379632
2011,0.6607469157678656
2012,0.644982346483675
2013,0.628732727685391
2014,0.6119980593730137
2015,0.594778341546543
2016,0.5770735742059792
2017,0.5588837573513218
2018,0.5402088909825713
2019,0.5210489750997274
2020,0.5014040097027902
