suffix,n,hw_rank,lanes,maxspeed,sidewalk_pct,intx_density,way_length_m,divergence
Walk,296,2.0,2.0,25.0,0.0033783783783783786,27.149980175323645,103.45694341997373,0.6146573933286396
Boulevard,13415,2.0,2.0,35.0,0.07163622810286992,25.997220006569087,124.01498955971825,0.5989690211336806
Path,1274,2.0,2.0,25.0,0.002354788069073783,20.64992914507247,147.34098677048507,0.5548614309871516
Parkway,5229,4.0,2.0,35.0,0.039586919104991396,21.584808524422296,150.01177639703553,0.539880063171299
Place,9611,2.0,2.0,25.0,0.07408178129226928,18.443728509655152,124.52537470887523,0.47776669053694826
Turnpike,1957,6.0,3.0,70.0,0.002043944813490036,19.243047644542596,158.72735033787265,0.4703160908899326
Court,35120,2.0,2.0,25.0,0.07149772209567198,15.870254936411694,102.65558646127688,0.4439705213996882
Pike,4355,4.0,3.0,40.0,0.041791044776119404,26.577628217952498,97.76314450232455,0.4093932518612572
Street,113157,2.0,2.0,25.0,0.053589260938342306,21.25152084297451,170.26325341021547,0.38596909238532506
Circle,9483,2.0,2.0,25.0,0.027628387641041863,16.575890879765474,135.28659985755553,0.37548620086866463
Lane,50593,2.0,2.0,25.0,0.02255252702943095,12.007802937466199,209.32264115897755,0.3689268670936631
Avenue,66178,2.0,2.0,25.0,0.0736347426637251,19.696745637895503,198.30693653403708,0.3612296599725283
Way,12201,2.0,2.0,25.0,0.05048766494549627,16.84877980406304,170.10578633178852,0.3612195310650746
Highway,4944,5.0,2.0,55.0,0.0186084142394822,20.416899459768146,132.75724679093264,0.34261367564480505
Row,186,2.0,2.0,25.0,0.03763440860215054,20.45952110451315,131.44273072706045,0.3403204964472721
Drive,98887,2.0,2.0,25.0,0.05189762051634694,13.366499369193631,243.6898836921195,0.33450713415264566
Terrace,1909,2.0,2.0,25.0,0.014143530644316397,13.08560096128416,176.38760910029652,0.30497930668825884
Alley,2664,1.0,2.0,15.0,0.007882882882882882,23.642354310941567,129.83599885826482,0.2501413007224641
Trail,19154,2.0,2.0,25.0,0.0031847133757961785,12.654836336920594,224.6353521953605,0.18270142716743382
Run,939,2.0,2.0,25.0,0.019169329073482427,13.513717492650137,224.64553309564334,0.16401676571669832
Road,202122,2.0,2.0,35.0,0.02122975232780202,11.140297305421667,342.3244054251245,0.14611658120451598
